MaGiaoDan;MaHonPhoi;SoThuTu;UpdateDate;MaGiaoXuRieng
7353;56;1;2018/09/30 06:11:43;1232
7352;56;1;2018/09/30 06:11:43;1232
6534;57;1;2018/09/30 06:11:43;1232
6533;57;1;2018/09/30 06:11:43;1232
961;60;1;2018/09/30 06:11:43;1232
960;60;1;2018/09/30 06:11:43;1232
864;62;1;2018/09/30 06:11:43;1232
863;62;1;2018/09/30 06:11:43;1232
987;63;1;2018/09/30 06:11:43;1232
1107;63;1;2018/09/30 06:11:43;1232
5826;64;1;2018/09/30 06:11:43;1232
5825;64;1;2018/09/30 06:11:43;1232
7176;66;1;2018/09/30 06:11:43;1232
7175;66;1;2018/09/30 06:11:43;1232
10252;65;1;2018/09/30 06:11:43;1232
2882;65;1;2018/09/30 06:11:43;1232
9859;30;1;2018/09/30 06:11:43;1232
3164;30;1;2018/09/30 06:11:43;1232
5713;59;1;2018/09/30 06:11:43;1232
5712;59;1;2018/09/30 06:11:43;1232
10754;67;1;2018/09/30 06:11:43;1232
10753;67;1;2018/09/30 06:11:43;1232
4415;68;1;2018/09/30 06:11:43;1232
4414;68;1;2018/09/30 06:11:43;1232
1835;58;1;2018/09/30 06:11:43;1232
1834;58;1;2018/09/30 06:11:43;1232
485;69;1;2018/09/30 06:11:43;1232
2634;69;1;2018/09/30 06:11:43;1232
5747;39;1;2018/09/30 06:11:43;1232
5746;39;1;2018/09/30 06:11:43;1232
5979;32;1;2018/09/30 06:11:43;1232
5978;32;1;2018/09/30 06:11:43;1232
6660;70;1;2018/09/30 06:11:43;1232
6659;70;1;2018/09/30 06:11:43;1232
4112;61;1;2018/09/30 06:11:43;1232
4111;61;1;2018/09/30 06:11:43;1232
2899;18;1;2018/09/30 06:11:43;1232
2898;18;1;2018/09/30 06:11:43;1232
4120;15;1;2018/09/30 06:11:43;1232
4119;15;1;2018/09/30 06:11:43;1232
13283;71;1;2018/09/30 06:11:43;1232
13282;71;1;2018/09/30 06:11:43;1232
1163;72;1;2018/09/30 06:11:43;1232
1162;72;1;2018/09/30 06:11:43;1232
3700;73;1;2018/09/30 06:11:43;1232
9546;73;1;2018/09/30 06:11:43;1232
3692;11;1;2018/09/30 06:11:43;1232
3691;11;1;2018/09/30 06:11:43;1232
13409;74;1;2018/09/30 06:11:43;1232
13408;74;1;2018/09/30 06:11:43;1232
