MaDotBiTich;NgayBiTich;MoTa;LinhMuc;LoaiBiTich;NoiBiTich;UpdateDate;MaGiaoXuRieng
37;1950;Đợt bí tích năm 1950;;0;;2018/10/05 01:43:01;1234
38;10/09/1950;Đợt bí tích ngày 10 tháng 09 năm 1950;;0;Cát Xuyên;2018/10/05 01:43:01;1234
39;1950;Đợt bí tích năm 1950;Đam Phạm Hữu Tư;0;An Lập;2018/10/05 01:43:01;1234
40;1951;Đợt bí tích năm 1951;;0;;2018/10/05 01:43:01;1234
41;15/06/1951;Đợt bí tích ngày 15 tháng 06 năm 1951;;0;Tân Định;2018/10/05 01:43:01;1234
42;22/07/1951;Đợt bí tích ngày 22 tháng 07 năm 1951;;0;Tân Mỹ;2018/10/05 01:43:01;1234
43;25/03/1951;Đợt bí tích ngày 25 tháng 03 năm 1951;Bartolomeo Nguyễn Quang Ân;0;Thân Thượng;2018/10/05 01:43:01;1234
44;02/08/1951;Đợt bí tích ngày 02 tháng 08 năm 1951;;0;Đồng Quan;2018/10/05 01:43:01;1234
45;05/03/1952;Đợt bí tích ngày 05 tháng 03 năm 1952;Lm. Đaminh Phạm Hữu Tư;0;An Lập, Gp Thái Bình;2018/10/05 01:43:01;1234
46;1952;Đợt bí tích năm 1952;;0;;2018/10/05 01:43:01;1234
47;26/06/1952;Đợt bí tích ngày 26 tháng 06 năm 1952;Nguyễn Chính Ân;0;Thân Thượng;2018/10/05 01:43:01;1234
48;22/06/1952;Đợt bí tích ngày 22 tháng 06 năm 1952;;0;Thái Bình;2018/10/05 01:43:01;1234
49;1952;Đợt bí tích năm 1952;Đaminh Túc;0;Trung Đồng;2018/10/05 01:43:01;1234
50;25/05/1952;Đợt bí tích ngày 25 tháng 05 năm 1952;Đaminh Hoàng Đức Tụng;0;Đồng Quan;2018/10/05 01:43:01;1234
51;15/06/1952;Đợt bí tích ngày 15 tháng 06 năm 1952;;0;Cao Mộc;2018/10/05 01:43:01;1234
52;1953;Đợt bí tích năm 1953;Đaminh Phạm Hữu Tư;0;An Lập;2018/10/05 01:43:01;1234
53;24/07/1953;Đợt bí tích ngày 24 tháng 07 năm 1953;;0;Thân Thượng;2018/10/05 01:43:01;1234
54;13/06/1953;Đợt bí tích ngày 13 tháng 06 năm 1953;Đaminh Lộ, Op;0;Đaminh;2018/10/05 01:43:01;1234
55;21/05/1953;Đợt bí tích ngày 21 tháng 05 năm 1953;An;0;Đồng Quan;2018/10/05 01:43:01;1234
56;05/08/1953;Đợt bí tích ngày 05 tháng 08 năm 1953;Bartolomeo Nguyễn Quang Ân;0;Thân Thượng;2018/10/05 01:43:01;1234
57;14/05/1953;Đợt bí tích ngày 14 tháng 05 năm 1953;;0;Quỳnh Lang;2018/10/05 01:43:01;1234
58;1953;Đợt bí tích năm 1953;;0;;2018/10/05 01:43:01;1234
59;29/06/1953;Đợt bí tích ngày 29 tháng 06 năm 1953;Hoàng Đức Tụng;0;Đồng Quan;2018/10/05 01:43:01;1234
60;01/06/1953;Đợt bí tích ngày 01 tháng 06 năm 1953;Giuse Phạm Đức Sự Op;0;Ngọc Đồng;2018/10/05 01:43:01;1234
61;1954;Đợt bí tích năm 1954;;0;;2018/10/05 01:43:01;1234
62;13/02/1954;Đợt bí tích ngày 13 tháng 02 năm 1954;;0;Hưng Yên;2018/10/05 01:43:01;1234
63;02/11/1954;Đợt bí tích ngày 02 tháng 11 năm 1954;;0;Phục Lễ;2018/10/05 01:43:01;1234
64;20/07/1954;Đợt bí tích ngày 20 tháng 07 năm 1954;;0;Đông Quan;2018/10/05 01:43:01;1234
65;31/01/1954;Đợt bí tích ngày 31 tháng 01 năm 1954;Đaminh Đức;0;Thái Bình;2018/10/05 01:43:01;1234
66;29/04/1954;Đợt bí tích ngày 29 tháng 04 năm 1954;Giuse Phạm Đức Sự;0;Hưng Yên;2018/10/05 01:43:01;1234
67;18/08/1954;Đợt bí tích ngày 18 tháng 08 năm 1954;;0;Gx Cảnh Lâm, Gp Phú Cường;2018/10/05 01:43:01;1234
68;23/02/1954;Đợt bí tích ngày 23 tháng 02 năm 1954;Giuse Phạm Đức Sự;0;Hưng Yên;2018/10/05 01:43:01;1234
69;07/10/1955;Đợt bí tích ngày 07 tháng 10 năm 1955;;0;Lạc Thánh;2018/10/05 01:43:01;1234
70;23/01/1955;Đợt bí tích ngày 23 tháng 01 năm 1955;;0;Gx Thiên Vương, Gp Long Xuyên;2018/10/05 01:43:01;1234
71;1955;Đợt bí tích năm 1955;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
72;30/05/1955;Đợt bí tích ngày 30 tháng 05 năm 1955;;0;Cần Thơ;2018/10/05 01:43:01;1234
73;20/04/1955;Đợt bí tích ngày 20 tháng 04 năm 1955;;0;Ngọc Đồng;2018/10/05 01:43:01;1234
74;05/02/1955;Đợt bí tích ngày 05 tháng 02 năm 1955;Giuse Phạm Đức Sự`;0;Ngọc Đồng;2018/10/05 01:43:01;1234
75;06/08/1955;Đợt bí tích ngày 06 tháng 08 năm 1955;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
76;25/08/1955;Đợt bí tích ngày 25 tháng 08 năm 1955;Đam. Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
77;03/04/1955;Đợt bí tích ngày 03 tháng 04 năm 1955;Đam. Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
78;1955;Đợt bí tích năm 1955;;0;;2018/10/05 01:43:01;1234
79;01/10/1955;Đợt bí tích ngày 01 tháng 10 năm 1955;Giuse Trần Minh Trí;0;Thái Bình;2018/10/05 01:43:01;1234
80;25/02/1955;Đợt bí tích ngày 25 tháng 02 năm 1955;Phêro Trần Gia Vĩnh;0;Cao Mộc;2018/10/05 01:43:01;1234
81;03/03/1955;Đợt bí tích ngày 03 tháng 03 năm 1955;;0;Văn Côi;2018/10/05 01:43:01;1234
82;20/08/1955;Đợt bí tích ngày 20 tháng 08 năm 1955;Đaminh Cao Đại Minh;0;Văn Côi;2018/10/05 01:43:01;1234
83;12/08/1955;Đợt bí tích ngày 12 tháng 08 năm 1955;;0;;2018/10/05 01:43:01;1234
84;29/11/1956;Đợt bí tích ngày 29 tháng 11 năm 1956;;0;Gx Lai Ổn;2018/10/05 01:43:01;1234
85;18/01/1956;Đợt bí tích ngày 18 tháng 01 năm 1956;;0;Thừa Thiên, Huế;2018/10/05 01:43:01;1234
86;12/09/1956;Đợt bí tích ngày 12 tháng 09 năm 1956;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
87;1956;Đợt bí tích năm 1956;;0;;2018/10/05 01:43:01;1234
88;23/12/1956;Đợt bí tích ngày 23 tháng 12 năm 1956;;0;Bùi Vĩnh;2018/10/05 01:43:01;1234
89;20/10/1956;Đợt bí tích ngày 20 tháng 10 năm 1956;;0;Sa Đéc;2018/10/05 01:43:01;1234
90;22/03/1956;Đợt bí tích ngày 22 tháng 03 năm 1956;;0;Tân Hiệp;2018/10/05 01:43:01;1234
91;14/05/1956;Đợt bí tích ngày 14 tháng 05 năm 1956;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
92;1956;Đợt bí tích năm 1956;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
93;10/10/1956;Đợt bí tích ngày 10 tháng 10 năm 1956;Vượng;0;Lạc An;2018/10/05 01:43:01;1234
94;26/02/1956;Đợt bí tích ngày 26 tháng 02 năm 1956;Hieronimo Phạm Quang Tự;0;Thánh Tâm;2018/10/05 01:43:01;1234
95;29/08/1956;Đợt bí tích ngày 29 tháng 08 năm 1956;;0;;2018/10/05 01:43:01;1234
96;03/10/1956;Đợt bí tích ngày 03 tháng 10 năm 1956;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
97;30/07/1956;Đợt bí tích ngày 30 tháng 07 năm 1956;Giuse Phạm Đức Sự;0;Ngọc Đồng;2018/10/05 01:43:01;1234
98;18/06/1956;Đợt bí tích ngày 18 tháng 06 năm 1956;Phaolo Maria Tạ Đức Kiểm;0;Thánh Tâm;2018/10/05 01:43:01;1234
99;10/04/1957;Đợt bí tích ngày 10 tháng 04 năm 1957;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
100;05/12/1957;Đợt bí tích ngày 05 tháng 12 năm 1957;Lm Nguyễn Ngọc Trợ;0;Nhà Thờ Tuyên Úy Sư Đoàn 2;2018/10/05 01:43:01;1234
101;29/05/1957;Đợt bí tích ngày 29 tháng 05 năm 1957;Lm Phaolô Trần Hữu Lý;0;Gx Bạch Đằng;2018/10/05 01:43:01;1234
102;05/04/1957;Đợt bí tích ngày 05 tháng 04 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
103;1957;Đợt bí tích năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
104;30/09/1957;Đợt bí tích ngày 30 tháng 09 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
105;27/10/1957;Đợt bí tích ngày 27 tháng 10 năm 1957;Phero Thiện;0;Tiểu Đoàn;2018/10/05 01:43:01;1234
106;27/10/1957;Đợt bí tích ngày 27 tháng 10 năm 1957;Gioan Vũ Xuân Lai;0;Gò Vấp;2018/10/05 01:43:01;1234
107;08/03/1957;Đợt bí tích ngày 08 tháng 03 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
108;04/12/1957;Đợt bí tích ngày 04 tháng 12 năm 1957;;0;Mỹ Tho;2018/10/05 01:43:01;1234
109;25/02/1957;Đợt bí tích ngày 25 tháng 02 năm 1957;;0;Ngọc Đồng;2018/10/05 01:43:01;1234
110;18/10/1957;Đợt bí tích ngày 18 tháng 10 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
111;09/03/1957;Đợt bí tích ngày 09 tháng 03 năm 1957;Phacques Trần Mạnh Thắng;0;Gia Định;2018/10/05 01:43:01;1234
112;08/07/1957;Đợt bí tích ngày 08 tháng 07 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
113;22/04/1957;Đợt bí tích ngày 22 tháng 04 năm 1957;Đoàn Quang Hàm;0;La Vang;2018/10/05 01:43:01;1234
114;06/05/1957;Đợt bí tích ngày 06 tháng 05 năm 1957;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
115;28/07/1957;Đợt bí tích ngày 28 tháng 07 năm 1957;G B Trần Chấn Chỉnh;0;Thái Xuân;2018/10/05 01:43:01;1234
116;09/06/1957;Đợt bí tích ngày 09 tháng 06 năm 1957;Phero Trần Gia Vĩnh;0;Cao Thái;2018/10/05 01:43:01;1234
117;09/06/1957;Đợt bí tích ngày 09 tháng 06 năm 1957;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
118;1957;Đợt bí tích năm 1957;;0;Phương Xá;2018/10/05 01:43:01;1234
119;01/05/1958;Đợt bí tích ngày 01 tháng 05 năm 1958;;0;Gx Ngọc Đồng;2018/10/05 01:43:01;1234
120;29/12/1958;Đợt bí tích ngày 29 tháng 12 năm 1958;Lm Đặng Văn Huy;0;Nhà Thờ Sư Đoàn K C 14;2018/10/05 01:43:01;1234
121;20/09/1958;Đợt bí tích ngày 20 tháng 09 năm 1958;Giuse Nguyễn Văn Lâm;0;Phương Lâm;2018/10/05 01:43:01;1234
122;11/09/1958;Đợt bí tích ngày 11 tháng 09 năm 1958;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
123;26/11/1958;Đợt bí tích ngày 26 tháng 11 năm 1958;;0;Hạ Lễ;2018/10/05 01:43:01;1234
124;1958;Đợt bí tích năm 1958;Thuấn;0;Thái Bình;2018/10/05 01:43:01;1234
125;1958;Đợt bí tích năm 1958;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
126;05/06/1958;Đợt bí tích ngày 05 tháng 06 năm 1958;P.m. Đính;0;Phước Lễ;2018/10/05 01:43:01;1234
127;17/04/1958;Đợt bí tích ngày 17 tháng 04 năm 1958;Giuse Đỗ Đức Huấn;0;Vĩnh Phúc Yên;2018/10/05 01:43:01;1234
128;27/11/1958;Đợt bí tích ngày 27 tháng 11 năm 1958;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
129;23/11/1958;Đợt bí tích ngày 23 tháng 11 năm 1958;Bartolomeo Nguyễn Đăng Quang;0;Nam Hưng;2018/10/05 01:43:01;1234
130;1958;Đợt bí tích năm 1958;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
131;25/11/1958;Đợt bí tích ngày 25 tháng 11 năm 1958;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
132;25/06/1959;Đợt bí tích ngày 25 tháng 06 năm 1959;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
133;1959;Đợt bí tích năm 1959;;0;Tân Lương, Mỹ Chánh, Quảng Trị;2018/10/05 01:43:01;1234
134;09/11/1959;Đợt bí tích ngày 09 tháng 11 năm 1959;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
135;24/12/1959;Đợt bí tích ngày 24 tháng 12 năm 1959;;0;;2018/10/05 01:43:01;1234
136;02/07/1959;Đợt bí tích ngày 02 tháng 07 năm 1959;;0;Quảng Ngãi;2018/10/05 01:43:01;1234
137;20/06/1959;Đợt bí tích ngày 20 tháng 06 năm 1959;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
138;15/11/1959;Đợt bí tích ngày 15 tháng 11 năm 1959;Luyến;0;Đan Chàng;2018/10/05 01:43:01;1234
139;17/12/1959;Đợt bí tích ngày 17 tháng 12 năm 1959;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
140;12/10/1959;Đợt bí tích ngày 12 tháng 10 năm 1959;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
141;11/01/1959;Đợt bí tích ngày 11 tháng 01 năm 1959;Giuse Lại Hữu Chí;0;Nam Thái;2018/10/05 01:43:01;1234
142;13/09/1959;Đợt bí tích ngày 13 tháng 09 năm 1959;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
143;25/10/1959;Đợt bí tích ngày 25 tháng 10 năm 1959;;0;;2018/10/05 01:43:01;1234
144;09/07/1959;Đợt bí tích ngày 09 tháng 07 năm 1959;;0;Bình Lộc;2018/10/05 01:43:01;1234
145;26/05/1959;Đợt bí tích ngày 26 tháng 05 năm 1959;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
146;12/03/1959;Đợt bí tích ngày 12 tháng 03 năm 1959;Lm. Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
147;20/11/1960;Đợt bí tích ngày 20 tháng 11 năm 1960;;0;Kiến Điền, Gp Phú Cường;2018/10/05 01:43:01;1234
148;05/08/1960;Đợt bí tích ngày 05 tháng 08 năm 1960;Lm Giuse Hoàng Trung;0;Gx Bình Thái, Tgp Sài Gòn;2018/10/05 01:43:01;1234
149;27/11/1960;Đợt bí tích ngày 27 tháng 11 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
150;16/07/1960;Đợt bí tích ngày 16 tháng 07 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
151;13/10/1960;Đợt bí tích ngày 13 tháng 10 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
152;30/11/1960;Đợt bí tích ngày 30 tháng 11 năm 1960;;0;Xuân Trà;2018/10/05 01:43:01;1234
153;25/10/1960;Đợt bí tích ngày 25 tháng 10 năm 1960;Trần Khắc Thiện;0;Long Điền;2018/10/05 01:43:01;1234
154;20/09/1960;Đợt bí tích ngày 20 tháng 09 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
155;08/08/1960;Đợt bí tích ngày 08 tháng 08 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
156;20/01/1960;Đợt bí tích ngày 20 tháng 01 năm 1960;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
157;19/05/1960;Đợt bí tích ngày 19 tháng 05 năm 1960;;0;;2018/10/05 01:43:01;1234
158;25/09/1960;Đợt bí tích ngày 25 tháng 09 năm 1960;Giuse Nguyễn Tiến Biền;0;Đông Hải 2;2018/10/05 01:43:01;1234
159;14/03/1960;Đợt bí tích ngày 14 tháng 03 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
160;02/10/1960;Đợt bí tích ngày 02 tháng 10 năm 1960;Giuse Hoàng;0;Sài Gòn;2018/10/05 01:43:01;1234
161;16/08/1960;Đợt bí tích ngày 16 tháng 08 năm 1960;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
162;07/09/1960;Đợt bí tích ngày 07 tháng 09 năm 1960;;0;Thùy Giang;2018/10/05 01:43:01;1234
163;21/12/1960;Đợt bí tích ngày 21 tháng 12 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
164;25/04/1960;Đợt bí tích ngày 25 tháng 04 năm 1960;Đaminh Ngô Đức Tuấn;0;Lực Điền;2018/10/05 01:43:01;1234
165;28/04/1960;Đợt bí tích ngày 28 tháng 04 năm 1960;;0;Phúc Hải;2018/10/05 01:43:01;1234
166;25/09/1960;Đợt bí tích ngày 25 tháng 09 năm 1960;Micae Nguyễn Văn Ngữ;0;Rạch Giá;2018/10/05 01:43:01;1234
167;20/03/1960;Đợt bí tích ngày 20 tháng 03 năm 1960;Đaminh Đinh Viết Tiên;0;Huế;2018/10/05 01:43:01;1234
168;29/09/1960;Đợt bí tích ngày 29 tháng 09 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
169;04/09/1960;Đợt bí tích ngày 04 tháng 09 năm 1960;;0;Tân Sa Châu;2018/10/05 01:43:01;1234
170;14/10/1960;Đợt bí tích ngày 14 tháng 10 năm 1960;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
171;10/03/1960;Đợt bí tích ngày 10 tháng 03 năm 1960;Giuse Phạm Đức Sự Op;0;Ngọc Đồng;2018/10/05 01:43:01;1234
172;06/03/1960;Đợt bí tích ngày 06 tháng 03 năm 1960;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
173;21/01/1960;Đợt bí tích ngày 21 tháng 01 năm 1960;Đam Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
174;02/02/1961;Đợt bí tích ngày 02 tháng 02 năm 1961;Lm. Đaminh Phạm Hữu Tư;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
175;01/11/1961;Đợt bí tích ngày 01 tháng 11 năm 1961;;0;Gx Tân Định, Tgp Sài Gòn;2018/10/05 01:43:01;1234
176;29/05/1961;Đợt bí tích ngày 29 tháng 05 năm 1961;Lm Phạm Quang Tự, O P;0;Gx Thánh Tâm, Hạt Hố Nai, Gp Xuân Lộc;2018/10/05 01:43:01;1234
177;1961;Đợt bí tích năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
178;24/12/1961;Đợt bí tích ngày 24 tháng 12 năm 1961;Gioakim Vũ Công Khanh;0;Nam Hưng;2018/10/05 01:43:01;1234
179;04/09/1961;Đợt bí tích ngày 04 tháng 09 năm 1961;;0;Chân Phúc Khang;2018/10/05 01:43:01;1234
180;03/1961;Đợt bí tích tháng 03 năm 1961;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
181;24/09/1961;Đợt bí tích ngày 24 tháng 09 năm 1961;;0;Trung Nghĩa;2018/10/05 01:43:01;1234
182;1961;Đợt bí tích năm 1961;;0;Ngũ Phúc;2018/10/05 01:43:01;1234
183;16/01/1961;Đợt bí tích ngày 16 tháng 01 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
184;10/06/1961;Đợt bí tích ngày 10 tháng 06 năm 1961;;0;Đànẵng;2018/10/05 01:43:01;1234
185;12/05/1961;Đợt bí tích ngày 12 tháng 05 năm 1961;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
186;07/02/1961;Đợt bí tích ngày 07 tháng 02 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
187;07/12/1961;Đợt bí tích ngày 07 tháng 12 năm 1961;;0;Gx Long Khánh;2018/10/05 01:43:01;1234
188;16/10/1961;Đợt bí tích ngày 16 tháng 10 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
189;17/06/1961;Đợt bí tích ngày 17 tháng 06 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
190;15/03/1961;Đợt bí tích ngày 15 tháng 03 năm 1961;Mai Đức Cận;0;Tràng Giang;2018/10/05 01:43:01;1234
191;09/03/1961;Đợt bí tích ngày 09 tháng 03 năm 1961;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
192;05/08/1961;Đợt bí tích ngày 05 tháng 08 năm 1961;Fx Đinh Quốc Thụy;0;Ngũ Phúc;2018/10/05 01:43:01;1234
193;15/03/1961;Đợt bí tích ngày 15 tháng 03 năm 1961;;0;Đà Lạt;2018/10/05 01:43:01;1234
194;11/09/1961;Đợt bí tích ngày 11 tháng 09 năm 1961;;0;;2018/10/05 01:43:01;1234
195;06/11/1962;Đợt bí tích ngày 06 tháng 11 năm 1962;;0;Biên Hòa;2018/10/05 01:43:01;1234
196;01/06/1962;Đợt bí tích ngày 01 tháng 06 năm 1962;;0;Gx Ngũ Phúc;2018/10/05 01:43:01;1234
197;26/07/1962;Đợt bí tích ngày 26 tháng 07 năm 1962;Gioakim Maria Vũ Ngọc Long;0;Nghĩa Hòa;2018/10/05 01:43:01;1234
198;04/06/1962;Đợt bí tích ngày 04 tháng 06 năm 1962;;0;Bình Dương;2018/10/05 01:43:01;1234
199;12/07/1962;Đợt bí tích ngày 12 tháng 07 năm 1962;Đaminh Đỗ Ngọc Bích;0;Ngọc Đồng;2018/10/05 01:43:01;1234
200;26/01/1962;Đợt bí tích ngày 26 tháng 01 năm 1962;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2018/10/05 01:43:01;1234
201;07/06/1962;Đợt bí tích ngày 07 tháng 06 năm 1962;;0;;2018/10/05 01:43:01;1234
202;21/10/1962;Đợt bí tích ngày 21 tháng 10 năm 1962;Giuse Nguyễn Hữu Văn;0;Bình Lộc;2018/10/05 01:43:01;1234
203;02/01/1962;Đợt bí tích ngày 02 tháng 01 năm 1962;Fx. Đinh Quốc Thụy;0;Ngũ Phúc;2018/10/05 01:43:01;1234
