ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;UpdateDate;MaGiaoXuRieng;DeleteClient
44;1;Pôlicarpô;Pôlicarpô;;2018/10/24 14:46:46;1221;0
45;1;Katherine Drexel;Katherine Drexel;;2018/10/24 14:46:46;1221;0
46;1;Casimirô;Casimirô;;2018/10/24 14:46:46;1221;0
47;1;Perpêtua;Perpêtua;;2018/10/24 14:46:46;1221;0
48;1;Phêlicita;Phêlicita;;2018/10/24 14:46:46;1221;0
49;1;Gioan Thiên Chúa;Gioan Thiên Chúa;;2018/10/24 14:46:46;1221;0
50;1;Phanxica Roma;Phanxica Roma;;2018/10/24 14:46:46;1221;0
51;1;Đaminh Cẩm;Đaminh Cẩm;;2018/10/24 14:46:46;1221;0
52;1;Patriciô;Patriciô;;2018/10/24 14:46:46;1221;0
53;1;Cyrillô;Cyrillô;;2018/10/24 14:46:46;1221;0
54;1;Giuse;Giuse;;2018/10/24 14:46:46;1221;0
55;1;Turibiô Môgrôvêjô;Turibiô Môgrôvêjô;;2018/10/24 14:46:46;1221;0
56;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
57;1;Phanxicô Paola;Phanxicô Paola;;2018/10/24 14:46:46;1221;0
58;1;Đaminh Tước;Đaminh Tước;;2018/10/24 14:46:46;1221;0
59;1;Isiđôrô;Isiđôrô;;2018/10/24 14:46:46;1221;0
60;1;Vinhsơn Phêriê;Vinhsơn Phêriê;;2018/10/24 14:46:46;1221;0
61;1;Phaolô Tịnh;Phaolô Tịnh;;2018/10/24 14:46:46;1221;0
62;1;Gioan Bt. Lasan;Gioan Bt. Lasan;;2018/10/24 14:46:46;1221;0
63;1;Phêrô Lựu;Phêrô Lựu;;2018/10/24 14:46:46;1221;0
64;1;Stanislaô;Stanislaô;;2018/10/24 14:46:46;1221;0
65;1;Martinô I;Martinô I;;2018/10/24 14:46:46;1221;0
66;1;Anselmô;Anselmô;;2018/10/24 14:46:46;1221;0
67;1;Georgiô;Georgiô;;2018/10/24 14:46:46;1221;0
68;1;Ađalbertô;Ađalbertô;;2018/10/24 14:46:46;1221;0
69;1;Fiđêlê Sigmaringen;Fiđêlê Sigmaringen;;2018/10/24 14:46:46;1221;0
70;1;Marcô;Marcô;;2018/10/24 14:46:46;1221;0
71;1;Giaon Bt. Thành;Giaon Bt. Thành;;2018/10/24 14:46:46;1221;0
72;1;Phêrô Chanel;Phêrô Chanel;;2018/10/24 14:46:46;1221;0
73;1;Phaolô Khoan;Phaolô Khoan;;2018/10/24 14:46:46;1221;0
74;1;Phêrô Hiếu;Phêrô Hiếu;;2018/10/24 14:46:46;1221;0
75;1;Catêrina Siêna;Catêrina Siêna;;2018/10/24 14:46:46;1221;0
76;1;Piô V;Piô V;;2018/10/24 14:46:46;1221;0
77;1;Giuse Tuân;Giuse Tuân;;2018/10/24 14:46:46;1221;0
78;1;Giuse;Giuse;;2018/10/24 14:46:46;1221;0
79;1;Augustinô Đông;Augustinô Đông;;2018/10/24 14:46:46;1221;0
80;1;Gioan Hương;Gioan Hương;;2018/10/24 14:46:46;1221;0
81;1;Athanasiô;Athanasiô;;2018/10/24 14:46:46;1221;0
82;1;Philipphê;Philipphê;;2018/10/24 14:46:46;1221;0
83;1;Giacôbê;Giacôbê;;2018/10/24 14:46:46;1221;0
84;1;Giuse Lựu;Giuse Lựu;;2018/10/24 14:46:46;1221;0
85;1;Giuse Hiển;Giuse Hiển;;2018/10/24 14:46:46;1221;0
86;1;Matthêu Gẫm;Matthêu Gẫm;;2018/10/24 14:46:46;1221;0
87;1;Nêrêô;Nêrêô;;2018/10/24 14:46:46;1221;0
88;1;Achillêô;Achillêô;;2018/10/24 14:46:46;1221;0
89;1;Pancratiô;Pancratiô;;2018/10/24 14:46:46;1221;0
90;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
91;1;Matthia;Matthia;;2018/10/24 14:46:46;1221;0
92;1;Isidorê;Isidorê;;2018/10/24 14:46:46;1221;0
93;1;Gioan I;Gioan I;;2018/10/24 14:46:46;1221;0
94;1;Bernarđinô Siêna;Bernarđinô Siêna;;2018/10/24 14:46:46;1221;0
95;1;Gioan Tân;Gioan Tân;;2018/10/24 14:46:46;1221;0
96;1;Christôphôrô Magallanes;Christôphôrô Magallanes;;2018/10/24 14:46:46;1221;0
97;1;Lorensô Ngôn;Lorensô Ngôn;;2018/10/24 14:46:46;1221;0
98;1;Micae Hy;Micae Hy;;2018/10/24 14:46:46;1221;0
99;1;Bêđa;Bêđa;;2018/10/24 14:46:46;1221;0
100;1;Grêgôriô VII;Grêgôriô VII;;2018/10/24 14:46:46;1221;0
101;1;Maria Mađalêna Pazzi;Maria Mađalêna Pazzi;;2018/10/24 14:46:46;1221;0
102;1;Phêrô Vân;Phêrô Vân;;2018/10/24 14:46:46;1221;0
103;1;Matthêu Phương;Matthêu Phương;;2018/10/24 14:46:46;1221;0
104;1;Philipphê Nêri;Philipphê Nêri;;2018/10/24 14:46:46;1221;0
105;1;Gioan Hoan;Gioan Hoan;;2018/10/24 14:46:46;1221;0
106;1;Augustinô;Augustinô;;2018/10/24 14:46:46;1221;0
107;1;Phaolô Hạnh;Phaolô Hạnh;;2018/10/24 14:46:46;1221;0
108;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
109;1;Justinô;Justinô;;2018/10/24 14:46:46;1221;0
110;1;Giuse Túc;Giuse Túc;;2018/10/24 14:46:46;1221;0
111;1;Marcellinô;Marcellinô;;2018/10/24 14:46:46;1221;0
112;1;Phêrô;Phêrô;;2018/10/24 14:46:46;1221;0
113;1;Đaminh Ninh;Đaminh Ninh;;2018/10/24 14:46:46;1221;0
114;1;Carôlô Lwanga;Carôlô Lwanga;;2018/10/24 14:46:46;1221;0
115;1;Phaolô Dương;Phaolô Dương;;2018/10/24 14:46:46;1221;0
116;1;Bonifatiô;Bonifatiô;;2018/10/24 14:46:46;1221;0
117;1;Đaminh Huyện;Đaminh Huyện;;2018/10/24 14:46:46;1221;0
118;1;Đaminh Toái;Đaminh Toái;;2018/10/24 14:46:46;1221;0
119;1;Luca Loan;Luca Loan;;2018/10/24 14:46:46;1221;0
120;1;Norbertô;Norbertô;;2018/10/24 14:46:46;1221;0
121;1;Phêrô Dũng;Phêrô Dũng;;2018/10/24 14:46:46;1221;0
122;1;Phêrô Thuần;Phêrô Thuần;;2018/10/24 14:46:46;1221;0
123;1;Vinhsơn Dương;Vinhsơn Dương;;2018/10/24 14:46:46;1221;0
124;1;Ephrem;Ephrem;;2018/10/24 14:46:46;1221;0
125;1;Barnaba;Barnaba;;2018/10/24 14:46:46;1221;0
126;1;Augustinô Huy;Augustinô Huy;;2018/10/24 14:46:46;1221;0
127;1;Nicola Thể;Nicola Thể;;2018/10/24 14:46:46;1221;0
128;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
129;1;Antôn;Antôn;;2018/10/24 14:46:46;1221;0
130;1;Anrê Tường;Anrê Tường;;2018/10/24 14:46:46;1221;0
131;1;Đaminh Mạo;Đaminh Mạo;;2018/10/24 14:46:46;1221;0
132;1;Đaminh Nguyên;Đaminh Nguyên;;2018/10/24 14:46:46;1221;0
133;1;Đaminh Nhi;Đaminh Nhi;;2018/10/24 14:46:46;1221;0
134;1;Vinhsơn Tường;Vinhsơn Tường;;2018/10/24 14:46:46;1221;0
135;1;Phêrô Đa;Phêrô Đa;;2018/10/24 14:46:46;1221;0
136;1;Rômualđô;Rômualđô;;2018/10/24 14:46:46;1221;0
137;1;Luy Gonzaga;Luy Gonzaga;;2018/10/24 14:46:46;1221;0
138;1;Paulinô;Paulinô;;2018/10/24 14:46:46;1221;0
139;1;Tôma More;Tôma More;;2018/10/24 14:46:46;1221;0
140;1;Gioan Fisher;Gioan Fisher;;2018/10/24 14:46:46;1221;0
141;1;Gioan Bt.;Gioan Bt.;;2018/10/24 14:46:46;1221;0
142;1;Đaminh Xuân;Đaminh Xuân;;2018/10/24 14:46:46;1221;0
143;1;Phanxicô Chiểu;Phanxicô Chiểu;;2018/10/24 14:46:46;1221;0
144;1;Cyrillô;Cyrillô;;2018/10/24 14:46:46;1221;0
145;1;Tôma Toán;Tôma Toán;;2018/10/24 14:46:46;1221;0
146;1;Irênê;Irênê;;2018/10/24 14:46:46;1221;0
147;1;Phêrô;Phêrô;;2018/10/24 14:46:46;1221;0
148;1;Phaolô;Phaolô;;2018/10/24 14:46:46;1221;0
149;1;Vinhsơn Yến;Vinhsơn Yến;;2018/10/24 14:46:46;1221;0
150;1;Junipero Serra;Junipero Serra;;2018/10/24 14:46:46;1221;0
151;1;Tôma;Tôma;;2018/10/24 14:46:46;1221;0
152;1;Philipphê Minh;Philipphê Minh;;2018/10/24 14:46:46;1221;0
153;1;Êlisabeth;Êlisabeth;;2018/10/24 14:46:46;1221;0
154;1;Giuse Uyển;Giuse Uyển;;2018/10/24 14:46:46;1221;0
155;1;Antôn;Antôn;;2018/10/24 14:46:46;1221;0
156;1;Maria Goretti;Maria Goretti;;2018/10/24 14:46:46;1221;0
157;1;Antôn Quỳnh;Antôn Quỳnh;;2018/10/24 14:46:46;1221;0
158;1;Phêrô Khắc Tự;Phêrô Khắc Tự;;2018/10/24 14:46:46;1221;0
159;1;Bênêđictô;Bênêđictô;;2018/10/24 14:46:46;1221;0
160;1;Clêmentê Inhaxiô Hy;Clêmentê Inhaxiô Hy;;2018/10/24 14:46:46;1221;0
161;1;Inê Thành;Inê Thành;;2018/10/24 14:46:46;1221;0
162;1;Phêrô Khanh;Phêrô Khanh;;2018/10/24 14:46:46;1221;0
163;1;Henricô;Henricô;;2018/10/24 14:46:46;1221;0
164;1;Camillô Lellis;Camillô Lellis;;2018/10/24 14:46:46;1221;0
165;1;Kateri Tekakwitha;Kateri Tekakwitha;;2018/10/24 14:46:46;1221;0
166;1;Bônaventura;Bônaventura;;2018/10/24 14:46:46;1221;0
167;1;Anrê Thông;Anrê Thông;;2018/10/24 14:46:46;1221;0
168;1;Phêrô Tuần;Phêrô Tuần;;2018/10/24 14:46:46;1221;0
169;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
170;1;Đaminh Đạt;Đaminh Đạt;;2018/10/24 14:46:46;1221;0
171;1;Giuse An;Giuse An;;2018/10/24 14:46:46;1221;0
172;1;Laurensô;Laurensô;;2018/10/24 14:46:46;1221;0
173;1;Maria Mađalêna;Maria Mađalêna;;2018/10/24 14:46:46;1221;0
174;1;Brigitta;Brigitta;;2018/10/24 14:46:46;1221;0
175;1;Sarbêliô Makhluf;Sarbêliô Makhluf;;2018/10/24 14:46:46;1221;0
176;1;Giuse Hiền;Giuse Hiền;;2018/10/24 14:46:46;1221;0
177;1;Giacôbê;Giacôbê;;2018/10/24 14:46:46;1221;0
178;1;Gioakim;Gioakim;;2018/10/24 14:46:46;1221;0
179;1;Anna;Anna;;2018/10/24 14:46:46;1221;0
180;1;Anrê Phú Yên;Anrê Phú Yên;;2018/10/24 14:46:46;1221;0
181;1;Melchor Xuyên;Melchor Xuyên;;2018/10/24 14:46:46;1221;0
182;1;Martha;Martha;;2018/10/24 14:46:46;1221;0
183;1;Phêrô;Phêrô;;2018/10/24 14:46:46;1221;0
184;1;Ignatiô;Ignatiô;;2018/10/24 14:46:46;1221;0
185;1;Emmanuel Phụng;Emmanuel Phụng;;2018/10/24 14:46:46;1221;0
186;1;Phêrô Quý;Phêrô Quý;;2018/10/24 14:46:46;1221;0
187;1;Alphongsô;Alphongsô;;2018/10/24 14:46:46;1221;0
188;1;Bênađô Duệ;Bênađô Duệ;;2018/10/24 14:46:46;1221;0
189;1;Đaminh Hạnh;Đaminh Hạnh;;2018/10/24 14:46:46;1221;0
190;1;Eusêbiô;Eusêbiô;;2018/10/24 14:46:46;1221;0
191;1;Eymard;Eymard;;2018/10/24 14:46:46;1221;0
192;1;Vianney;Vianney;;2018/10/24 14:46:46;1221;0
193;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
194;1;Xystô II;Xystô II;;2018/10/24 14:46:46;1221;0
195;1;Gajêtanô;Gajêtanô;;2018/10/24 14:46:46;1221;0
196;1;Đaminh;Đaminh;;2018/10/24 14:46:46;1221;0
197;1;Têrêsa Bênêđicta;Têrêsa Bênêđicta;;2018/10/24 14:46:46;1221;0
198;1;Laurensô;Laurensô;;2018/10/24 14:46:46;1221;0
199;1;Clara;Clara;;2018/10/24 14:46:46;1221;0
200;1;Joanna;Joanna;;2018/10/24 14:46:46;1221;0
201;1;Antôn Đích;Antôn Đích;;2018/10/24 14:46:46;1221;0
202;1;Giacôbê Năm;Giacôbê Năm;;2018/10/24 14:46:46;1221;0
203;1;Micae Mỹ;Micae Mỹ;;2018/10/24 14:46:46;1221;0
204;1;Pontianô;Pontianô;;2018/10/24 14:46:46;1221;0
205;1;Hippôlytô;Hippôlytô;;2018/10/24 14:46:46;1221;0
206;1;Maximilianô Kolbê;Maximilianô Kolbê;;2018/10/24 14:46:46;1221;0
207;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
208;1;Stêphanô;Stêphanô;;2018/10/24 14:46:46;1221;0
209;1;Gioan Êuđê;Gioan Êuđê;;2018/10/24 14:46:46;1221;0
210;1;Bernarđô;Bernarđô;;2018/10/24 14:46:46;1221;0
211;1;Piô X;Piô X;;2018/10/24 14:46:46;1221;0
212;1;Giuse Viên;Giuse Viên;;2018/10/24 14:46:46;1221;0
213;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
214;1;Rosa Lima;Rosa Lima;;2018/10/24 14:46:46;1221;0
215;1;Barthôlômêô;Barthôlômêô;;2018/10/24 14:46:46;1221;0
216;1;Giuse Calasanz;Giuse Calasanz;;2018/10/24 14:46:46;1221;0
217;1;Luy;Luy;;2018/10/24 14:46:46;1221;0
218;1;Monica;Monica;;2018/10/24 14:46:46;1221;0
219;1;Augustinô;Augustinô;;2018/10/24 14:46:46;1221;0
220;1;Gioan Bt.;Gioan Bt.;;2018/10/24 14:46:46;1221;0
221;1;Grêgôriô;Grêgôriô;;2018/10/24 14:46:46;1221;0
222;1;Giuse cảnh;Giuse cảnh;;2018/10/24 14:46:46;1221;0
223;1;Phêrô Văn Tự;Phêrô Văn Tự;;2018/10/24 14:46:46;1221;0
224;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
225;1;Phêrô Claver;Phêrô Claver;;2018/10/24 14:46:46;1221;0
226;1;Gioan;Gioan;;2018/10/24 14:46:46;1221;0
227;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
228;1;Conêliô;Conêliô;;2018/10/24 14:46:46;1221;0
229;1;Cyprianô;Cyprianô;;2018/10/24 14:46:46;1221;0
230;1;Robertô;Robertô;;2018/10/24 14:46:46;1221;0
231;1;Emmanuel Triệu;Emmanuel Triệu;;2018/10/24 14:46:46;1221;0
232;1;Đaminh Trạch;Đaminh Trạch;;2018/10/24 14:46:46;1221;0
233;1;Januariô;Januariô;;2018/10/24 14:46:46;1221;0
234;1;Anrê Kim Têgon;Anrê Kim Têgon;;2018/10/24 14:46:46;1221;0
235;1;Phaolô Chung Hasang;Phaolô Chung Hasang;;2018/10/24 14:46:46;1221;0
236;1;Mátthêu;Mátthêu;;2018/10/24 14:46:46;1221;0
237;1;Phanxicô Phan;Phanxicô Phan;;2018/10/24 14:46:46;1221;0
238;1;Tôma Thiện;Tôma Thiện;;2018/10/24 14:46:46;1221;0
239;1;Piô;Piô;;2018/10/24 14:46:46;1221;0
240;1;Cosma;Cosma;;2018/10/24 14:46:46;1221;0
241;1;Đamianô;Đamianô;;2018/10/24 14:46:46;1221;0
242;1;Vinhsơn Phaolô;Vinhsơn Phaolô;;2018/10/24 14:46:46;1221;0
243;1;Venceslaô;Venceslaô;;2018/10/24 14:46:46;1221;0
244;1;Laurensô Ruiz;Laurensô Ruiz;;2018/10/24 14:46:46;1221;0
245;1;Micae;Micae;;2018/10/24 14:46:46;1221;0
246;1;Gabriel;Gabriel;;2018/10/24 14:46:46;1221;0
247;1;Raphael;Raphael;;2018/10/24 14:46:46;1221;0
248;1;Giêrômiô;Giêrômiô;;2018/10/24 14:46:46;1221;0
249;1;Têrêxa;Têrêxa;;2018/10/24 14:46:46;1221;0
250;1;Phanxicô Assisi;Phanxicô Assisi;;2018/10/24 14:46:46;1221;0
251;1;Brunô;Brunô;;2018/10/24 14:46:46;1221;0
252;1;Maria Rosa;Maria Rosa;;2018/10/24 14:46:46;1221;0
253;1;Phanxicô Trung;Phanxicô Trung;;2018/10/24 14:46:46;1221;0
254;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
255;1;Điônisyô;Điônisyô;;2018/10/24 14:46:46;1221;0
256;1;Gioan Lêônarđô;Gioan Lêônarđô;;2018/10/24 14:46:46;1221;0
257;1;Gioan XXIII;Gioan XXIII;;2018/10/24 14:46:46;1221;0
258;1;Phêrô Tùy;Phêrô Tùy;;2018/10/24 14:46:46;1221;0
259;1;Callistô I;Callistô I;;2018/10/24 14:46:46;1221;0
260;1;Têrêsa Giêsu;Têrêsa Giêsu;;2018/10/24 14:46:46;1221;0
261;1;Hedviges;Hedviges;;2018/10/24 14:46:46;1221;0
262;1;Margarita Alacoque;Margarita Alacoque;;2018/10/24 14:46:46;1221;0
263;1;Phanxicô Kính;Phanxicô Kính;;2018/10/24 14:46:46;1221;0
264;1;Ignatiô;Ignatiô;;2018/10/24 14:46:46;1221;0
265;1;Luca;Luca;;2018/10/24 14:46:46;1221;0
266;1;Isaac Jogues;Isaac Jogues;;2018/10/24 14:46:46;1221;0
267;1;Gioan Brêbeuf;Gioan Brêbeuf;;2018/10/24 14:46:46;1221;0
268;1;Phaolô Thánh Giá;Phaolô Thánh Giá;;2018/10/24 14:46:46;1221;0
269;1;Gioan Phaolô II;Gioan Phaolô II;;2018/10/24 14:46:46;1221;0
270;1;Gioan Capistranô;Gioan Capistranô;;2018/10/24 14:46:46;1221;0
271;1;Phaolô Bường;Phaolô Bường;;2018/10/24 14:46:46;1221;0
272;1;Antôn Clarét;Antôn Clarét;;2018/10/24 14:46:46;1221;0
273;1;Giuse Thị;Giuse Thị;;2018/10/24 14:46:46;1221;0
274;1;Simon;Simon;;2018/10/24 14:46:46;1221;0
275;1;Giuđa;Giuđa;;2018/10/24 14:46:46;1221;0
276;1;Gioan Đạt;Gioan Đạt;;2018/10/24 14:46:46;1221;0
277;1;Giêrônimô Liêm;Giêrônimô Liêm;;2018/10/24 14:46:46;1221;0
278;1;Berrio Vinh;Berrio Vinh;;2018/10/24 14:46:46;1221;0
279;1;Phêrô Bình;Phêrô Bình;;2018/10/24 14:46:46;1221;0
280;1;Martinô;Martinô;;2018/10/24 14:46:46;1221;0
281;1;Phêrô Bắc;Phêrô Bắc;;2018/10/24 14:46:46;1221;0
282;1;Carôlô;Carôlô;;2018/10/24 14:46:46;1221;0
283;1;Đaminh Mầu;Đaminh Mầu;;2018/10/24 14:46:46;1221;0
284;1;Henricô Gia;Henricô Gia;;2018/10/24 14:46:46;1221;0
285;1;Vinhsơn Liêm;Vinhsơn Liêm;;2018/10/24 14:46:46;1221;0
286;1;Gioan Bt. Côn;Gioan Bt. Côn;;2018/10/24 14:46:46;1221;0
287;1;Giuse Nghi;Giuse Nghi;;2018/10/24 14:46:46;1221;0
288;1;Martinô Thịnh;Martinô Thịnh;;2018/10/24 14:46:46;1221;0
289;1;Martinô Thọ;Martinô Thọ;;2018/10/24 14:46:46;1221;0
290;1;Phaolô Ngân;Phaolô Ngân;;2018/10/24 14:46:46;1221;0
291;1;Lêô;Lêô;;2018/10/24 14:46:46;1221;0
292;1;Martinô;Martinô;;2018/10/24 14:46:46;1221;0
293;1;Josaphat;Josaphat;;2018/10/24 14:46:46;1221;0
294;1;Frances X. Cabrini;Frances X. Cabrini;;2018/10/24 14:46:46;1221;0
295;1;Stêphanô Thể;Stêphanô Thể;;2018/10/24 14:46:46;1221;0
296;1;Albertô;Albertô;;2018/10/24 14:46:46;1221;0
297;1;Margarita;Margarita;;2018/10/24 14:46:46;1221;0
298;1;Gertruđê;Gertruđê;;2018/10/24 14:46:46;1221;0
299;1;Elizabeth;Elizabeth;;2018/10/24 14:46:46;1221;0
300;1;Phanxicô Cần;Phanxicô Cần;;2018/10/24 14:46:46;1221;0
301;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
302;1;Cêcilia;Cêcilia;;2018/10/24 14:46:46;1221;0
303;1;Clêmentê I;Clêmentê I;;2018/10/24 14:46:46;1221;0
304;1;Columbanô;Columbanô;;2018/10/24 14:46:46;1221;0
305;1;Miguel Pro;Miguel Pro;;2018/10/24 14:46:46;1221;0
306;1;Phêrô Cao;Phêrô Cao;;2018/10/24 14:46:46;1221;0
307;1;Phêrô Khoa;Phêrô Khoa;;2018/10/24 14:46:46;1221;0
308;1;Vinhsơn Điểm;Vinhsơn Điểm;;2018/10/24 14:46:46;1221;0
309;1;Catarina;Catarina;;2018/10/24 14:46:46;1221;0
310;1;Đaminh Xuyên;Đaminh Xuyên;;2018/10/24 14:46:46;1221;0
311;1;Tôma Dụ;Tôma Dụ;;2018/10/24 14:46:46;1221;0
312;1;Anrê Trông;Anrê Trông;;2018/10/24 14:46:46;1221;0
313;1;Anrê;Anrê;;2018/10/24 14:46:46;1221;0
314;1;Giuse Du;Giuse Du;;2018/10/24 14:46:46;1221;0
315;1;Phanxicô Xaviê;Phanxicô Xaviê;;2018/10/24 14:46:46;1221;0
316;1;Gioan Đamas;Gioan Đamas;;2018/10/24 14:46:46;1221;0
317;1;Nicôla;Nicôla;;2018/10/24 14:46:46;1221;0
318;1;Giuse Khang;Giuse Khang;;2018/10/24 14:46:46;1221;0
319;1;Ambrôsiô;Ambrôsiô;;2018/10/24 14:46:46;1221;0
320;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
321;1;Gioan Điđacô;Gioan Điđacô;;2018/10/24 14:46:46;1221;0
322;1;Đamasô;Đamasô;;2018/10/24 14:46:46;1221;0
323;1;Maria;Maria;;2018/10/24 14:46:46;1221;0
324;1;Simon Hòa;Simon Hòa;;2018/10/24 14:46:46;1221;0
325;1;Luxia;Luxia;;2018/10/24 14:46:46;1221;0
326;1;Gioan Thánh Giá;Gioan Thánh Giá;;2018/10/24 14:46:46;1221;0
327;1;Phaolô Mỹ;Phaolô Mỹ;;2018/10/24 14:46:46;1221;0
328;1;Phêrô Đường;Phêrô Đường;;2018/10/24 14:46:46;1221;0
329;1;Phêrô Truật;Phêrô Truật;;2018/10/24 14:46:46;1221;0
330;1;Augustinô Mới;Augustinô Mới;;2018/10/24 14:46:46;1221;0
331;1;Đaminh Úy;Đaminh Úy;;2018/10/24 14:46:46;1221;0
332;1;Phanxicô Mậu;Phanxicô Mậu;;2018/10/24 14:46:46;1221;0
333;1;Stêphanô Vinh;Stêphanô Vinh;;2018/10/24 14:46:46;1221;0
334;1;Tôma Đệ;Tôma Đệ;;2018/10/24 14:46:46;1221;0
335;1;Phêrô Canisiô;Phêrô Canisiô;;2018/10/24 14:46:46;1221;0
336;1;Anrê Dũng Lạc;Anrê Dũng Lạc;;2018/10/24 14:46:46;1221;0
337;1;Phêrô Thi;Phêrô Thi;;2018/10/24 14:46:46;1221;0
338;1;Gioan Kêty;Gioan Kêty;;2018/10/24 14:46:46;1221;0
339;1;Emmanuel;Emmanuel;;2018/10/24 14:46:46;1221;0
340;1;Stêphanô;Stêphanô;;2018/10/24 14:46:46;1221;0
341;1;Gioan;Gioan;;2018/10/24 14:46:46;1221;0
342;1;Tôma Becket;Tôma Becket;;2018/10/24 14:46:46;1221;0
343;1;Sylvestê;Sylvestê;;2018/10/24 14:46:46;1221;0
