MaDotBiTich;MaGiaoDan;GhiChu;UpdateDate;MaGiaoXuRieng
17;1747;;2018/10/05 01:43:01;1234
18;1774;;2018/10/05 01:43:01;1234
19;2308;;2018/10/05 01:43:01;1234
20;447;;2018/10/05 01:43:01;1234
21;768;;2018/10/05 01:43:01;1234
21;2591;;2018/10/05 01:43:01;1234
22;1426;;2018/10/05 01:43:01;1234
23;197;;2018/10/05 01:43:01;1234
24;2310;;2018/10/05 01:43:01;1234
24;2309;;2018/10/05 01:43:01;1234
25;2579;;2018/10/05 01:43:01;1234
26;2036;;2018/10/05 01:43:01;1234
26;2226;;2018/10/05 01:43:01;1234
27;1705;;2018/10/05 01:43:01;1234
27;1706;;2018/10/05 01:43:01;1234
27;3145;;2018/10/05 01:43:01;1234
28;1915;;2018/10/05 01:43:01;1234
29;1333;;2018/10/05 01:43:01;1234
30;472;;2018/10/05 01:43:01;1234
31;2439;;2018/10/05 01:43:01;1234
29;2566;;2018/10/05 01:43:01;1234
32;2537;;2018/10/05 01:43:01;1234
33;104;;2018/10/05 01:43:01;1234
34;2384;;2018/10/05 01:43:01;1234
35;3669;;2018/10/05 01:43:01;1234
36;359;;2018/10/05 01:43:01;1234
37;942;;2018/10/05 01:43:01;1234
38;2037;;2018/10/05 01:43:01;1234
39;2373;;2018/10/05 01:43:01;1234
35;2588;;2018/10/05 01:43:01;1234
40;3504;;2018/10/05 01:43:01;1234
41;1586;;2018/10/05 01:43:01;1234
42;1413;;2018/10/05 01:43:01;1234
43;1748;;2018/10/05 01:43:01;1234
44;2580;;2018/10/05 01:43:01;1234
45;3701;;2018/10/05 01:43:01;1234
46;943;;2018/10/05 01:43:01;1234
47;565;;2018/10/05 01:43:01;1234
48;1500;;2018/10/05 01:43:01;1234
49;2227;;2018/10/05 01:43:01;1234
50;1972;;2018/10/05 01:43:01;1234
51;3076;;2018/10/05 01:43:01;1234
52;1580;;2018/10/05 01:43:01;1234
53;1701;;2018/10/05 01:43:01;1234
54;1486;;2018/10/05 01:43:01;1234
55;1210;;2018/10/05 01:43:01;1234
56;733;;2018/10/05 01:43:01;1234
57;391;;2018/10/05 01:43:01;1234
58;1956;;2018/10/05 01:43:01;1234
59;1814;;2018/10/05 01:43:01;1234
60;1996;;2018/10/05 01:43:01;1234
61;3318;;2018/10/05 01:43:01;1234
62;1753;;2018/10/05 01:43:01;1234
63;600;;2018/10/05 01:43:01;1234
64;640;;2018/10/05 01:43:01;1234
65;1420;;2018/10/05 01:43:01;1234
66;196;;2018/10/05 01:43:01;1234
67;3804;;2018/10/05 01:43:01;1234
68;2464;;2018/10/05 01:43:01;1234
61;2181;;2018/10/05 01:43:01;1234
69;641;;2018/10/05 01:43:01;1234
70;632;;2018/10/05 01:43:01;1234
71;1111;;2018/10/05 01:43:01;1234
72;734;;2018/10/05 01:43:01;1234
73;141;;2018/10/05 01:43:01;1234
74;1250;;2018/10/05 01:43:01;1234
75;1308;;2018/10/05 01:43:01;1234
76;2829;;2018/10/05 01:43:01;1234
77;1973;;2018/10/05 01:43:01;1234
78;2164;;2018/10/05 01:43:01;1234
79;2117;;2018/10/05 01:43:01;1234
80;2104;;2018/10/05 01:43:01;1234
81;2691;;2018/10/05 01:43:01;1234
82;1762;;2018/10/05 01:43:01;1234
83;2092;;2018/10/05 01:43:01;1234
84;1461;;2018/10/05 01:43:01;1234
85;1068;;2018/10/05 01:43:01;1234
86;1641;;2018/10/05 01:43:01;1234
87;1728;;2018/10/05 01:43:01;1234
88;1040;;2018/10/05 01:43:01;1234
89;1581;;2018/10/05 01:43:01;1234
90;601;;2018/10/05 01:43:01;1234
91;336;;2018/10/05 01:43:01;1234
92;684;;2018/10/05 01:43:01;1234
93;1752;;2018/10/05 01:43:01;1234
2033;4772;;2018/10/05 01:43:01;1234
94;1450;;2018/10/05 01:43:01;1234
95;1278;;2018/10/05 01:43:01;1234
96;371;;2018/10/05 01:43:01;1234
97;7;;2018/10/05 01:43:01;1234
98;2465;;2018/10/05 01:43:01;1234
89;2692;;2018/10/05 01:43:01;1234
99;3702;;2018/10/05 01:43:01;1234
100;4151;;2018/10/05 01:43:01;1234
101;3836;;2018/10/05 01:43:01;1234
102;457;;2018/10/05 01:43:01;1234
103;1202;;2018/10/05 01:43:01;1234
104;344;;2018/10/05 01:43:01;1234
105;661;;2018/10/05 01:43:01;1234
106;8;;2018/10/05 01:43:01;1234
107;91;;2018/10/05 01:43:01;1234
108;392;;2018/10/05 01:43:01;1234
109;142;;2018/10/05 01:43:01;1234
110;1158;;2018/10/05 01:43:01;1234
111;473;;2018/10/05 01:43:01;1234
112;566;;2018/10/05 01:43:01;1234
113;170;;2018/10/05 01:43:01;1234
114;2994;;2018/10/05 01:43:01;1234
115;2060;;2018/10/05 01:43:01;1234
116;2539;;2018/10/05 01:43:01;1234
117;2262;;2018/10/05 01:43:01;1234
103;1957;;2018/10/05 01:43:01;1234
103;2515;;2018/10/05 01:43:01;1234
118;3075;;2018/10/05 01:43:01;1234
119;3828;;2018/10/05 01:43:01;1234
120;4075;;2018/10/05 01:43:01;1234
121;1309;;2018/10/05 01:43:01;1234
122;337;;2018/10/05 01:43:01;1234
123;1304;;2018/10/05 01:43:01;1234
124;1211;;2018/10/05 01:43:01;1234
125;685;;2018/10/05 01:43:01;1234
126;78;;2018/10/05 01:43:01;1234
127;360;;2018/10/05 01:43:01;1234
125;1943;;2018/10/05 01:43:01;1234
128;2105;;2018/10/05 01:43:01;1234
129;2369;;2018/10/05 01:43:01;1234
130;1942;;2018/10/05 01:43:01;1234
131;2468;;2018/10/05 01:43:01;1234
132;3569;;2018/10/05 01:43:01;1234
133;3832;;2018/10/05 01:43:01;1234
134;379;;2018/10/05 01:43:01;1234
135;529;;2018/10/05 01:43:01;1234
136;240;;2018/10/05 01:43:01;1234
137;1251;;2018/10/05 01:43:01;1234
138;45;;2018/10/05 01:43:01;1234
139;1269;;2018/10/05 01:43:01;1234
140;783;;2018/10/05 01:43:01;1234
133;1539;;2018/10/05 01:43:01;1234
141;1845;;2018/10/05 01:43:01;1234
142;2654;;2018/10/05 01:43:01;1234
143;3265;;2018/10/05 01:43:01;1234
144;2386;;2018/10/05 01:43:01;1234
145;2664;;2018/10/05 01:43:01;1234
146;2007;;2018/10/05 01:43:01;1234
147;3568;;2018/10/05 01:43:01;1234
148;4152;;2018/10/05 01:43:01;1234
149;1279;;2018/10/05 01:43:01;1234
150;1334;;2018/10/05 01:43:01;1234
151;1414;;2018/10/05 01:43:01;1234
152;1736;;2018/10/05 01:43:01;1234
153;1168;;2018/10/05 01:43:01;1234
154;1329;;2018/10/05 01:43:01;1234
155;921;;2018/10/05 01:43:01;1234
156;219;;2018/10/05 01:43:01;1234
157;645;;2018/10/05 01:43:01;1234
158;169;;2018/10/05 01:43:01;1234
159;671;;2018/10/05 01:43:01;1234
160;2061;;2018/10/05 01:43:01;1234
161;2076;;2018/10/05 01:43:01;1234
162;2121;;2018/10/05 01:43:01;1234
163;2903;;2018/10/05 01:43:01;1234
164;2206;;2018/10/05 01:43:01;1234
165;1906;;2018/10/05 01:43:01;1234
166;2263;;2018/10/05 01:43:01;1234
167;2811;;2018/10/05 01:43:01;1234
168;1939;;2018/10/05 01:43:01;1234
169;2190;;2018/10/05 01:43:01;1234
170;2509;;2018/10/05 01:43:01;1234
171;1846;;2018/10/05 01:43:01;1234
172;1831;;2018/10/05 01:43:01;1234
173;2601;;2018/10/05 01:43:01;1234
174;3788;;2018/10/05 01:43:01;1234
175;4250;;2018/10/05 01:43:01;1234
176;4076;;2018/10/05 01:43:01;1234
177;288;;2018/10/05 01:43:01;1234
178;558;;2018/10/05 01:43:01;1234
179;2;;2018/10/05 01:43:01;1234
180;1;;2018/10/05 01:43:01;1234
181;380;;2018/10/05 01:43:01;1234
182;213;;2018/10/05 01:43:01;1234
183;1608;;2018/10/05 01:43:01;1234
184;530;;2018/10/05 01:43:01;1234
185;2123;;2018/10/05 01:43:01;1234
186;2385;;2018/10/05 01:43:01;1234
187;2842;;2018/10/05 01:43:01;1234
188;2951;;2018/10/05 01:43:01;1234
189;3027;;2018/10/05 01:43:01;1234
190;2222;;2018/10/05 01:43:01;1234
191;2868;;2018/10/05 01:43:01;1234
192;2880;;2018/10/05 01:43:01;1234
193;2440;;2018/10/05 01:43:01;1234
194;2380;;2018/10/05 01:43:01;1234
195;3826;;2018/10/05 01:43:01;1234
196;3829;;2018/10/05 01:43:01;1234
197;409;;2018/10/05 01:43:01;1234
198;289;;2018/10/05 01:43:01;1234
199;345;;2018/10/05 01:43:01;1234
200;199;;2018/10/05 01:43:01;1234
201;121;;2018/10/05 01:43:01;1234
202;1095;;2018/10/05 01:43:01;1234
203;1188;;2018/10/05 01:43:01;1234
204;773;;2018/10/05 01:43:01;1234
205;546;;2018/10/05 01:43:01;1234
206;1693;;2018/10/05 01:43:01;1234
207;547;;2018/10/05 01:43:01;1234
208;811;;2018/10/05 01:43:01;1234
209;1297;;2018/10/05 01:43:01;1234
210;559;;2018/10/05 01:43:01;1234
211;1634;;2018/10/05 01:43:01;1234
212;1882;;2018/10/05 01:43:01;1234
213;1928;;2018/10/05 01:43:01;1234
214;2764;;2018/10/05 01:43:01;1234
215;3030;;2018/10/05 01:43:01;1234
216;1878;;2018/10/05 01:43:01;1234
217;3454;;2018/10/05 01:43:01;1234
218;2381;;2018/10/05 01:43:01;1234
219;2223;;2018/10/05 01:43:01;1234
220;2851;;2018/10/05 01:43:01;1234
221;1298;;2018/10/05 01:43:01;1234
222;1428;;2018/10/05 01:43:01;1234
223;1530;;2018/10/05 01:43:01;1234
224;3515;;2018/10/05 01:43:01;1234
225;264;;2018/10/05 01:43:01;1234
226;168;;2018/10/05 01:43:01;1234
227;704;;2018/10/05 01:43:01;1234
228;686;;2018/10/05 01:43:01;1234
229;672;;2018/10/05 01:43:01;1234
230;662;;2018/10/05 01:43:01;1234
231;220;;2018/10/05 01:43:01;1234
232;214;;2018/10/05 01:43:01;1234
233;193;;2018/10/05 01:43:01;1234
234;1059;;2018/10/05 01:43:01;1234
235;1642;;2018/10/05 01:43:01;1234
236;822;;2018/10/05 01:43:01;1234
237;1079;;2018/10/05 01:43:01;1234
238;1737;;2018/10/05 01:43:01;1234
239;122;;2018/10/05 01:43:01;1234
240;864;;2018/10/05 01:43:01;1234
237;3025;;2018/10/05 01:43:01;1234
241;1980;;2018/10/05 01:43:01;1234
242;2363;;2018/10/05 01:43:01;1234
243;879;;2018/10/05 01:43:01;1234
244;2191;;2018/10/05 01:43:01;1234
245;2665;;2018/10/05 01:43:01;1234
246;3677;;2018/10/05 01:43:01;1234
247;3365;;2018/10/05 01:43:01;1234
248;404;;2018/10/05 01:43:01;1234
249;932;;2018/10/05 01:43:01;1234
250;1335;;2018/10/05 01:43:01;1234
251;705;;2018/10/05 01:43:01;1234
252;532;;2018/10/05 01:43:01;1234
253;551;;2018/10/05 01:43:01;1234
254;812;;2018/10/05 01:43:01;1234
255;1589;;2018/10/05 01:43:01;1234
256;1037;;2018/10/05 01:43:01;1234
257;1609;;2018/10/05 01:43:01;1234
258;1618;;2018/10/05 01:43:01;1234
259;665;;2018/10/05 01:43:01;1234
260;340;;2018/10/05 01:43:01;1234
261;350;;2018/10/05 01:43:01;1234
262;743;;2018/10/05 01:43:01;1234
263;744;;2018/10/05 01:43:01;1234
264;1540;;2018/10/05 01:43:01;1234
265;294;;2018/10/05 01:43:01;1234
266;1694;;2018/10/05 01:43:01;1234
267;445;;2018/10/05 01:43:01;1234
268;410;;2018/10/05 01:43:01;1234
269;1556;;2018/10/05 01:43:01;1234
270;55;;2018/10/05 01:43:01;1234
271;560;;2018/10/05 01:43:01;1234
272;2477;;2018/10/05 01:43:01;1234
273;2655;;2018/10/05 01:43:01;1234
274;2260;;2018/10/05 01:43:01;1234
275;2561;;2018/10/05 01:43:01;1234
276;1967;;2018/10/05 01:43:01;1234
277;4271;;2018/10/05 01:43:01;1234
278;4125;;2018/10/05 01:43:01;1234
279;3827;;2018/10/05 01:43:01;1234
280;3996;;2018/10/05 01:43:01;1234
281;3559;;2018/10/05 01:43:01;1234
282;3328;;2018/10/05 01:43:01;1234
283;3503;;2018/10/05 01:43:01;1234
284;1619;;2018/10/05 01:43:01;1234
285;485;;2018/10/05 01:43:01;1234
286;1635;;2018/10/05 01:43:01;1234
287;1477;;2018/10/05 01:43:01;1234
288;200;;2018/10/05 01:43:01;1234
289;351;;2018/10/05 01:43:01;1234
290;933;;2018/10/05 01:43:01;1234
291;241;;2018/10/05 01:43:01;1234
292;1597;;2018/10/05 01:43:01;1234
293;2001;;2018/10/05 01:43:01;1234
294;2259;;2018/10/05 01:43:01;1234
295;880;;2018/10/05 01:43:01;1234
296;2015;;2018/10/05 01:43:01;1234
297;2029;;2018/10/05 01:43:01;1234
298;2048;;2018/10/05 01:43:01;1234
299;1758;;2018/10/05 01:43:01;1234
300;2671;;2018/10/05 01:43:01;1234
301;2154;;2018/10/05 01:43:01;1234
302;1883;;2018/10/05 01:43:01;1234
303;2370;;2018/10/05 01:43:01;1234
304;3670;;2018/10/05 01:43:01;1234
305;841;;2018/10/05 01:43:01;1234
306;4124;;2018/10/05 01:43:01;1234
307;4153;;2018/10/05 01:43:01;1234
308;3928;;2018/10/05 01:43:01;1234
309;3805;;2018/10/05 01:43:01;1234
310;92;;2018/10/05 01:43:01;1234
311;813;;2018/10/05 01:43:01;1234
312;207;;2018/10/05 01:43:01;1234
313;1327;;2018/10/05 01:43:01;1234
314;1330;;2018/10/05 01:43:01;1234
315;1023;;2018/10/05 01:43:01;1234
316;486;;2018/10/05 01:43:01;1234
317;1729;;2018/10/05 01:43:01;1234
318;646;;2018/10/05 01:43:01;1234
319;265;;2018/10/05 01:43:01;1234
320;1343;;2018/10/05 01:43:01;1234
321;1950;;2018/10/05 01:43:01;1234
322;2952;;2018/10/05 01:43:01;1234
323;2510;;2018/10/05 01:43:01;1234
324;1931;;2018/10/05 01:43:01;1234
325;2486;;2018/10/05 01:43:01;1234
326;2002;;2018/10/05 01:43:01;1234
327;2364;;2018/10/05 01:43:01;1234
328;2987;;2018/10/05 01:43:01;1234
329;3555;;2018/10/05 01:43:01;1234
330;3366;;2018/10/05 01:43:01;1234
331;4046;;2018/10/05 01:43:01;1234
332;4192;;2018/10/05 01:43:01;1234
333;3887;;2018/10/05 01:43:01;1234
334;88;;2018/10/05 01:43:01;1234
335;619;;2018/10/05 01:43:01;1234
336;1379;;2018/10/05 01:43:01;1234
337;1630;;2018/10/05 01:43:01;1234
338;1061;;2018/10/05 01:43:01;1234
339;1648;;2018/10/05 01:43:01;1234
340;1252;;2018/10/05 01:43:01;1234
341;1253;;2018/10/05 01:43:01;1234
342;1557;;2018/10/05 01:43:01;1234
343;437;;2018/10/05 01:43:01;1234
344;670;;2018/10/05 01:43:01;1234
345;1406;;2018/10/05 01:43:01;1234
346;784;;2018/10/05 01:43:01;1234
347;1476;;2018/10/05 01:43:01;1234
348;1096;;2018/10/05 01:43:01;1234
349;396;;2018/10/05 01:43:01;1234
350;511;;2018/10/05 01:43:01;1234
351;1159;;2018/10/05 01:43:01;1234
352;1731;;2018/10/05 01:43:01;1234
353;2341;;2018/10/05 01:43:01;1234
354;2541;;2018/10/05 01:43:01;1234
355;3093;;2018/10/05 01:43:01;1234
356;3094;;2018/10/05 01:43:01;1234
357;1951;;2018/10/05 01:43:01;1234
358;3277;;2018/10/05 01:43:01;1234
359;3192;;2018/10/05 01:43:01;1234
360;3072;;2018/10/05 01:43:01;1234
361;2080;;2018/10/05 01:43:01;1234
362;2079;;2018/10/05 01:43:01;1234
363;2289;;2018/10/05 01:43:01;1234
364;1981;;2018/10/05 01:43:01;1234
365;2197;;2018/10/05 01:43:01;1234
350;1879;;2018/10/05 01:43:01;1234
366;2371;;2018/10/05 01:43:01;1234
367;2797;;2018/10/05 01:43:01;1234
368;3783;;2018/10/05 01:43:01;1234
369;4101;;2018/10/05 01:43:01;1234
370;3784;;2018/10/05 01:43:01;1234
371;4047;;2018/10/05 01:43:01;1234
372;4251;;2018/10/05 01:43:01;1234
373;3924;;2018/10/05 01:43:01;1234
374;1561;;2018/10/05 01:43:01;1234
375;588;;2018/10/05 01:43:01;1234
376;1640;;2018/10/05 01:43:01;1234
377;468;;2018/10/05 01:43:01;1234
378;467;;2018/10/05 01:43:01;1234
379;615;;2018/10/05 01:43:01;1234
380;552;;2018/10/05 01:43:01;1234
381;814;;2018/10/05 01:43:01;1234
382;1482;;2018/10/05 01:43:01;1234
383;1022;;2018/10/05 01:43:01;1234
384;1446;;2018/10/05 01:43:01;1234
385;651;;2018/10/05 01:43:01;1234
386;842;;2018/10/05 01:43:01;1234
387;2922;;2018/10/05 01:43:01;1234
388;2084;;2018/10/05 01:43:01;1234
389;3012;;2018/10/05 01:43:01;1234
390;2552;;2018/10/05 01:43:01;1234
391;2030;;2018/10/05 01:43:01;1234
392;3276;;2018/10/05 01:43:01;1234
379;2158;;2018/10/05 01:43:01;1234
393;3090;;2018/10/05 01:43:01;1234
394;3103;;2018/10/05 01:43:01;1234
395;2641;;2018/10/05 01:43:01;1234
396;1815;;2018/10/05 01:43:01;1234
397;1922;;2018/10/05 01:43:01;1234
398;4244;;2018/10/05 01:43:01;1234
399;4154;;2018/10/05 01:43:01;1234
400;227;;2018/10/05 01:43:01;1234
401;1508;;2018/10/05 01:43:01;1234
402;1064;;2018/10/05 01:43:01;1234
403;769;;2018/10/05 01:43:01;1234
404;604;;2018/10/05 01:43:01;1234
405;448;;2018/10/05 01:43:01;1234
406;1407;;2018/10/05 01:43:01;1234
407;1732;;2018/10/05 01:43:01;1234
408;1392;;2018/10/05 01:43:01;1234
409;458;;2018/10/05 01:43:01;1234
410;655;;2018/10/05 01:43:01;1234
411;443;;2018/10/05 01:43:01;1234
412;695;;2018/10/05 01:43:01;1234
413;1287;;2018/10/05 01:43:01;1234
414;2852;;2018/10/05 01:43:01;1234
415;2821;;2018/10/05 01:43:01;1234
416;2255;;2018/10/05 01:43:01;1234
417;3102;;2018/10/05 01:43:01;1234
418;2581;;2018/10/05 01:43:01;1234
419;3266;;2018/10/05 01:43:01;1234
420;3147;;2018/10/05 01:43:01;1234
421;2321;;2018/10/05 01:43:01;1234
422;2342;;2018/10/05 01:43:01;1234
423;2487;;2018/10/05 01:43:01;1234
424;2277;;2018/10/05 01:43:01;1234
425;2634;;2018/10/05 01:43:01;1234
426;2553;;2018/10/05 01:43:01;1234
427;4245;;2018/10/05 01:43:01;1234
428;4134;;2018/10/05 01:43:01;1234
429;3674;;2018/10/05 01:43:01;1234
430;726;;2018/10/05 01:43:01;1234
431;1562;;2018/10/05 01:43:01;1234
432;1213;;2018/10/05 01:43:01;1234
433;295;;2018/10/05 01:43:01;1234
434;1451;;2018/10/05 01:43:01;1234
435;967;;2018/10/05 01:43:01;1234
436;765;;2018/10/05 01:43:01;1234
437;1575;;2018/10/05 01:43:01;1234
430;724;;2018/10/05 01:43:01;1234
438;1393;;2018/10/05 01:43:01;1234
439;691;;2018/10/05 01:43:01;1234
440;1288;;2018/10/05 01:43:01;1234
430;725;;2018/10/05 01:43:01;1234
437;581;;2018/10/05 01:43:01;1234
441;331;;2018/10/05 01:43:01;1234
442;2320;;2018/10/05 01:43:01;1234
443;2923;;2018/10/05 01:43:01;1234
444;2703;;2018/10/05 01:43:01;1234
445;2606;;2018/10/05 01:43:01;1234
446;2372;;2018/10/05 01:43:01;1234
447;1983;;2018/10/05 01:43:01;1234
448;1966;;2018/10/05 01:43:01;1234
449;1982;;2018/10/05 01:43:01;1234
450;2311;;2018/10/05 01:43:01;1234
451;1968;;2018/10/05 01:43:01;1234
452;2856;;2018/10/05 01:43:01;1234
453;2176;;2018/10/05 01:43:01;1234
454;1826;;2018/10/05 01:43:01;1234
455;3929;;2018/10/05 01:43:01;1234
456;3986;;2018/10/05 01:43:01;1234
457;4155;;2018/10/05 01:43:01;1234
458;3895;;2018/10/05 01:43:01;1234
459;46;;2018/10/05 01:43:01;1234
460;403;;2018/10/05 01:43:01;1234
461;1312;;2018/10/05 01:43:01;1234
462;154;;2018/10/05 01:43:01;1234
463;504;;2018/10/05 01:43:01;1234
463;1483;;2018/10/05 01:43:01;1234
464;1283;;2018/10/05 01:43:01;1234
465;1285;;2018/10/05 01:43:01;1234
466;687;;2018/10/05 01:43:01;1234
467;332;;2018/10/05 01:43:01;1234
468;208;;2018/10/05 01:43:01;1234
469;397;;2018/10/05 01:43:01;1234
470;713;;2018/10/05 01:43:01;1234
471;112;;2018/10/05 01:43:01;1234
472;1668;;2018/10/05 01:43:01;1234
473;1344;;2018/10/05 01:43:01;1234
474;1506;;2018/10/05 01:43:01;1234
475;1019;;2018/10/05 01:43:01;1234
476;1229;;2018/10/05 01:43:01;1234
477;411;;2018/10/05 01:43:01;1234
478;1649;;2018/10/05 01:43:01;1234
479;2256;;2018/10/05 01:43:01;1234
480;3078;;2018/10/05 01:43:01;1234
481;2765;;2018/10/05 01:43:01;1234
482;2152;;2018/10/05 01:43:01;1234
483;2085;;2018/10/05 01:43:01;1234
484;2761;;2018/10/05 01:43:01;1234
463;4103;;2018/10/05 01:43:01;1234
485;2672;;2018/10/05 01:43:01;1234
486;2635;;2018/10/05 01:43:01;1234
487;2068;;2018/10/05 01:43:01;1234
488;3098;;2018/10/05 01:43:01;1234
489;2935;;2018/10/05 01:43:01;1234
490;1827;;2018/10/05 01:43:01;1234
491;2582;;2018/10/05 01:43:01;1234
492;2093;;2018/10/05 01:43:01;1234
493;2039;;2018/10/05 01:43:01;1234
494;1929;;2018/10/05 01:43:01;1234
495;2242;;2018/10/05 01:43:01;1234
496;4007;;2018/10/05 01:43:01;1234
497;3426;;2018/10/05 01:43:01;1234
497;4107;;2018/10/05 01:43:01;1234
498;3776;;2018/10/05 01:43:01;1234
497;3500;;2018/10/05 01:43:01;1234
499;1038;;2018/10/05 01:43:01;1234
500;47;;2018/10/05 01:43:01;1234
501;1606;;2018/10/05 01:43:01;1234
502;1553;;2018/10/05 01:43:01;1234
503;155;;2018/10/05 01:43:01;1234
504;1749;;2018/10/05 01:43:01;1234
505;582;;2018/10/05 01:43:01;1234
506;512;;2018/10/05 01:43:01;1234
507;1631;;2018/10/05 01:43:01;1234
508;994;;2018/10/05 01:43:01;1234
508;663;;2018/10/05 01:43:01;1234
509;1724;;2018/10/05 01:43:01;1234
510;968;;2018/10/05 01:43:01;1234
511;73;;2018/10/05 01:43:01;1234
512;656;;2018/10/05 01:43:01;1234
513;449;;2018/10/05 01:43:01;1234
514;1305;;2018/10/05 01:43:01;1234
515;2528;;2018/10/05 01:43:01;1234
516;3008;;2018/10/05 01:43:01;1234
513;2834;;2018/10/05 01:43:01;1234
517;2148;;2018/10/05 01:43:01;1234
518;2492;;2018/10/05 01:43:01;1234
519;2008;;2018/10/05 01:43:01;1234
520;2607;;2018/10/05 01:43:01;1234
521;2642;;2018/10/05 01:43:01;1234
522;4102;;2018/10/05 01:43:01;1234
523;2921;;2018/10/05 01:43:01;1234
524;2934;;2018/10/05 01:43:01;1234
525;2772;;2018/10/05 01:43:01;1234
526;3853;;2018/10/05 01:43:01;1234
527;4156;;2018/10/05 01:43:01;1234
528;3930;;2018/10/05 01:43:01;1234
529;3579;;2018/10/05 01:43:01;1234
530;3580;;2018/10/05 01:43:01;1234
531;3609;;2018/10/05 01:43:01;1234
532;4132;;2018/10/05 01:43:01;1234
526;3848;;2018/10/05 01:43:01;1234
533;3443;;2018/10/05 01:43:01;1234
534;4130;;2018/10/05 01:43:01;1234
535;3744;;2018/10/05 01:43:01;1234
536;236;;2018/10/05 01:43:01;1234
537;946;;2018/10/05 01:43:01;1234
538;1408;;2018/10/05 01:43:01;1234
539;14;;2018/10/05 01:43:01;1234
540;413;;2018/10/05 01:43:01;1234
541;692;;2018/10/05 01:43:01;1234
542;766;;2018/10/05 01:43:01;1234
543;910;;2018/10/05 01:43:01;1234
530;648;;2018/10/05 01:43:01;1234
544;459;;2018/10/05 01:43:01;1234
545;1193;;2018/10/05 01:43:01;1234
546;1233;;2018/10/05 01:43:01;1234
534;787;;2018/10/05 01:43:01;1234
547;1552;;2018/10/05 01:43:01;1234
537;696;;2018/10/05 01:43:01;1234
548;97;;2018/10/05 01:43:01;1234
549;1387;;2018/10/05 01:43:01;1234
550;539;;2018/10/05 01:43:01;1234
530;998;;2018/10/05 01:43:01;1234
551;2736;;2018/10/05 01:43:01;1234
552;2170;;2018/10/05 01:43:01;1234
534;3049;;2018/10/05 01:43:01;1234
554;1984;;2018/10/05 01:43:01;1234
555;2798;;2018/10/05 01:43:01;1234
556;2562;;2018/10/05 01:43:01;1234
557;2182;;2018/10/05 01:43:01;1234
558;2825;;2018/10/05 01:43:01;1234
559;3026;;2018/10/05 01:43:01;1234
560;2569;;2018/10/05 01:43:01;1234
560;2603;;2018/10/05 01:43:01;1234
